id,barcode,desc,acost,adate,cat_type,locname,dept,datetime_scanned,scanned
35,0119-0008170200001,"UBIQUITY AF-5G30-S45",11000,02/17/2023,ROUTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
36,0119-0008170100002,"UBIQUITY AIR FIBER AF-5XHD",31000,03/01/2023,ROUTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
37,0119-0008170200002,"UBIQUITY AF-5G30-S45",11000,03/01/2023,ROUTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
38,0119-0008451500001,"RG-EW1800GX PRO",6214,03/08/2023,ROUTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:03:04 AM",1
39,0119-0008231800001,"LINTRATEK NEW ALC TRI BAND(SIGNAL BOOSTER)",6523,03/01/2023,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 08:52:09 AM",1
40,0119-0007970000001,"UBIQUITY SECTOR ANTENNA AM-5G20-90",10850,"/  /","ELECTRICAL PARTS","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
41,0119-0007970800002,"UBIQUITY ROCKET PRISM RP-5AC-GEN2",17750,01/16/2023,"ELECTRICAL PARTS","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
42,0119-0007970900003,"UBIQUITY LITE BEAM LBE-5AC-GEN2",5250,01/16/2023,"ELECTRICAL PARTS","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
43,0119-0007970900004,"UBIQUITY LITE BEAM LBE-5AC-GEN2",5250,01/16/2023,"ELECTRICAL PARTS","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
44,0119-0007872400001,"DRY TYPE TRANSFORMER 250 KVA",300000,09/30/2022,TRANSFORMER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:20:32 AM",1
45,0119-0008835200001,"32"""" DIGITAL SAMRT TV( HLED32HDDJSMP8G HANABISHI)",14399,06/20/2023,TV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:31:11 AM",1
46,0119-0008835200002,"32"""" DIGITAL SAMRT TV( HLED32HDDJSMP8G HANABISHI)",14399,06/20/2023,TV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
47,0119-0008835200003,"32"""" DIGITAL SAMRT TV( HLED32HDDJSMP8G HANABISHI)",14399,06/20/2023,TV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
48,0119-0008835300001,"ASAHI CAST IRON STOX # C40",3564,06/22/2023,BURNER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
49,0119-0008835300002,"ASAHI CAST IRON STOX # C40",3564,06/22/2023,BURNER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
50,0119-0008606500001,"12V 1KW SNAT INVERTER",6500,09/14/2023,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:46:24 PM",1
51,0119-0009043200001,"FUJIDENZO CFZR IFC 90GDF 9CF",16950,10/18/2023,FREEZER/CHILLER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:39:37 AM",1
52,0116-0009055600005,"POULTRY VACCINATOR (THAMA 222)",4464,08/24/2023,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:56:06 AM",1
53,0116-0009055600006,"POULTRY VACCINATOR (THAMA 222)",4464,08/24/2023,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:56:18 AM",1
54,0119-0008589400001,"CI/DI FIRE HYDRANT 6""""X3-WAY ASSEMBLY",36607,01/31/2024,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
55,0119-0009463000001,"CAMSCO BRAND ANALOG DIN RAIL SWITCH 230 AC",1200,02/14/2023,SWITCH,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:20:55 AM",1
56,0026-0007989700005,"INDUSTRIAL GENERATOR SET (MODEL:4M11G75/6E2)",500000,05/22/2023,GENERATOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:14:55 AM",1
57,0119-0009780300001,"APC- UPS UNINTERRUPTIBE POWER SUPPLY",2277,03/22/2024,UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:42:55 AM",1
58,0119-0009780300003,"APC- UPS UNINTERRUPTIBE POWER SUPPLY",2277,04/22/2024,UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:53:54 AM",1
59,0119-0010150200001,"FUJIDENZO CFZR/CHI FC88GDF 8.8",13348,06/19/2024,FREEZER/CHILLER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:39:56 AM",1
60,0119-0009747200001,"JIYO SUBMERSIBLE MOTOR",48950,06/27/2024,"MACHINE MOTOR","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:12:15 AM",1
61,0119-0007959100001,"AOC 18.5"""" E970SWN LED MONITOR",2946,06/27/2024,MONITOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:52:40 AM",1
62,0119-0009780300004,"APC- UPS UNINTERRUPTIBE POWER SUPPLY",2277,06/27/2024,UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:36:05 PM",1
63,0119-0009780300005,"APC- UPS UNINTERRUPTIBE POWER SUPPLY",2277,06/27/2024,UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:54:07 AM",1
64,0119-0010189600001,"COMBO PH/CONDUCTIVITY/TDS TESTER (HIGH RANGE)",13661,07/03/2024,"MEASURING EQUIPMENT","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 08:51:01 AM",1
65,0119-0007188000001,"HANNA FREE CHLORINE CHECKER HC",5089,07/03/2024,"TEST KIT","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 08:50:44 AM",1
66,0119-0010001100001,"WASSERNISSON SINGLE POINT WATER HEATER 4.5 KW",4114,07/18/2024,HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:42:55 PM",1
67,0119-0010001100002,"WASSERNISSON SINGLE POINT WATER HEATER 4.5 KW",4114,07/18/2024,HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:43:11 PM",1
68,0119-0010001100003,"WASSERNISSON SINGLE POINT WATER HEATER 4.5 KW",4114,07/18/2024,HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:43:16 PM",1
69,0119-0010001100004,"WASSERNISSON SINGLE POINT WATER HEATER 4.5 KW",4114,07/18/2024,HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:43:22 PM",1
70,0119-0010062000001,"HYDRAULIC JACK 15 TONS",2411,07/24/2024,TOOLS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-27 02:03:59 PM",1
71,0119-0005563300001,"PLATINUM WIRELESS MICROPHONE",5356,09/05/2024,MICROPHONE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 08:51:32 AM",1
72,0119-0010425600001,"16"""" STANDARD CEILING FAN CAMEL",2404,09/05/2024,FAN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:37:18 AM",1
73,0119-0010425600002,"16"""" STANDARD CEILING FAN CAMEL",2404,09/05/2024,FAN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:04:33 AM",1
74,0119-0009747200002,"JIYO SUBMERSIBLE MOTOR",42262,09/25/2024,"MACHINE MOTOR","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:40:09 AM",1
75,0119-0009147900001,"SALTER HANGING SCALE 10KG 50 GRAMS GRADUATION",7500,09/30/2024,SCALE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:59:42 AM",1
76,0119-0009147900002,"SALTER HANGING SCALE 10KG 50 GRAMS GRADUATION",7500,09/30/2024,SCALE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:00:16 AM",1
77,0119-0011373800001,"PANA REF NR-BP272VD",18571,02/06/2025,REFRIGERATOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:14:52 AM",1
78,0119-0010185100001,"EDJ 230V 500 GPM 110PSI",889305,03/18/2025,"MACH. & EQUIPMENT","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:26:03 AM",1
79,0119-0010194200001,"DJ 230V 500 GPM 110PSI ( ALARM CHECK VALVE",704400,01/21/2025,"MACH. & EQUIPMENT","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:34:24 AM",1
80,0119-0003509200001,"ALPHA WATER HEATER",5446,03/27/2025,HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:28:08 AM",1
81,0119-0001696000001,"NUTEX DIGITAL WEIGHING SCALE MODEL: SW-II SERIES",14000,05/06/2025,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:54:26 AM",1
82,0119-0007721400001,"SALTER DIAL HANGING SCALE",8500,05/06/2025,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:19:54 AM",1
83,0119-0007721400002,"SALTER DIAL HANGING SCALE",8500,05/06/2025,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:20:32 AM",1
84,0119-0007721400003,"SALTER DIAL HANGING SCALE",8500,05/06/2025,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:20:18 AM",1
85,0119-0007721400004,"SALTER DIAL HANGING SCALE",8500,05/06/2025,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:54:43 AM",1
86,0119-0007636000001,"MOTOPLUS HANDHELD RADIO",2400,05/09/2025,"RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:13:05 AM",1
87,0119-0007636000002,"MOTOPLUS HANDHELD RADIO",2400,05/09/2025,"RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:30:37 AM",1
88,0119-0007636000003,"MOTOPLUS HANDHELD RADIO",2400,05/09/2025,"RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 05:29:20 PM",1
89,0119-0007636000004,"MOTOPLUS HANDHELD RADIO",2400,05/09/2025,"RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:23:13 AM",1
90,0119-0011595500001,"BAJAJ MAXIMA CARGO",181117,06/03/2025,MOTORCYCLE-SURPLUS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:13:51 PM",1
91,0119-0009780300006,"APC- UPS UNINTERRUPTIBE POWER SUPPLY",2277,06/17/2025,UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
92,0119-0011725200001,"DEEP FREEZE COOLER BOX 20LTR HG-C020",2286,07/17/2025,BOX,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:41:38 AM",1
93,0119-0011830000001,"DEEP FREEZE COOLER BOX 40LTR HG-C040",4143,07/17/2025,BOX,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:00:20 AM",1
94,0119-0011595500002,"BAJAJ MAXIMA CARGO",181117,07/24/2025,MOTORCYCLE-SURPLUS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:26:49 AM",1
95,0119-0011579300001,"EPSON ECOTANK L5290 AIO PRINTER",12138,08/07/2025,PRINTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:19:41 AM",1
96,0119-0012356300001,"SUBMERSIBLE MOTOR 5HP FRANKLIN 3P FR43M5/230/3",40179,05/20/2024,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
97,0119-0012356400001,"GOULDS SUBMERSIBLE PUMP 35GS50 PUMP ONLY",37500,05/20/2024,PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
98,0119-0012542400001,"STAINLESS SINK W/ STAND  60.X40.X.89M",17471,08/18/2025,SINK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:00:38 AM",1
99,0119-0012542600001,"STAINLESS TABLE W/SINK 1.5X71X.80M",43131,08/18/2025,TABLE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:55:48 AM",1
100,0119-0012542400002,"STAINLESS SINK W/ STAND  60.X40.X.89M",17471,10/15/2025,SINK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:48:55 AM",1
101,0119-0012542400003,"STAINLESS SINK W/ STAND  60.X40.X.89M",17471,10/15/2025,SINK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:22:02 AM",1
102,0119-0012542400004,"STAINLESS SINK W/ STAND  60.X40.X.89M",17471,10/15/2025,SINK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 10:12:04 AM",1
103,0119-0012542400005,"STAINLESS SINK W/ STAND  60.X40.X.89M",17471,10/15/2025,SINK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 11:33:35 AM",1
104,0110-0011401000001,"NEMA-1 PANEL BOARD SURFACE MOUNTED",3570,05/06/2025,"PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:26:48 AM",1
105,0110-0011336400080,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
106,0110-0011336400081,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
107,0110-0011336400082,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
108,0110-0011336400083,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
109,0110-0011336400084,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
110,0110-0011336400085,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
111,0110-0011336400086,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
112,0110-0011336400087,"FIRE HOSE 2 1/2 X100FT DOUBLE JACKET",13000,06/04/2025,"FIRE HOSE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
113,0119-0012883500001,"ELSSN TWS TROLLY SPK R ASTERIA",17856,12/04/2025,SPEAKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 08:58:39 AM",1
114,0119-0012163200001,"MAKITA ANGLE GRINDER 540 WATTS",3481,01/15/2026,GRINDER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:08:23 AM",1
115,0119-0012164800001,"STANLEY BLOWER STPT600",3125,01/15/2026,BLOWER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 09:10:36 AM",1
116,0119-0012167700001,"BERNAMANN COMBINATION WRENCH SET(8MM-32MM)",5500,01/15/2026,TOOLS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:50:51 PM",1
117,0119-0012902800001,"SUBMERSIBLE PUMP STREAM PLUS 5HP",49107,03/26/2026,PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 10:12:45 AM",1
120,0026-0004542300013,"CISCO IP PHONE 7821",6000,07/16/2020,TELEPHONE,"MARCELA FARMS INCORPORATED","MFI-LAPSAON BREEDER DIMIAO","2026-08-25 09:06:18 AM",1
121,0026-0006571100045,"CPU SET INTEL CORE I3-9100 3.6GHZ 6MB",15000,01/04/2021,CPU,"MARCELA FARMS INCORPORATED","DIMIAO BREEDER","2026-08-25 09:17:04 AM",1
122,0119-0003198800001,"AIRCON CARRIER 2HP WINDOW TYPE",48733,12/07/2021,AIRCON,"MFI-BREEDER LAPSAON DIMIAO",BLD-ADMIN,"2026-08-25 09:49:36 AM",1
123,FAD-0110-0011336700141,"FIRE HOSE 1 1/2 X100FT DOUBLE JACKET",5446,02/13/2025,"FIRE HOSE","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-25 09:54:22 AM",1
124,0116-0009264100003,"DOSATRON CHLORINATOR D20S/ D20AL2VF",147321,04/30/2025,TOOLS,"MFI-BREEDER RIZAL BILAR","BRB-RIZAL ADMIN","2026-08-25 10:44:07 AM",1
125,0117-0009771200002,"PULSATRON( CHLORINATOR)0.2 AMPS SINGLE PHASE 230V",40000,06/04/2024,OTHERS,"MFI-BREEDER RIZAL BILAR","BRB-RIZAL ADMIN","2026-08-25 10:45:04 AM",1
126,0001177600001,"GENERATOR SET 375 KVA (CATERPILAR)",0,12/08/2015,"GENERATOR SET",OCEANICA,OCN-ENGINEERING,"2026-08-25 11:00:48 AM",1
127,0026-0004542300005,"CISCO IP PHONE 7821",6000,07/16/2020,TELEPHONE,"MARCELA FARMS INCORPORATED","MFI-LAPSAON BREEDER DIMIAO","2026-08-25 01:33:07 PM",1
120,FAD-0110-0011336700137,"FIRE HOSE 1 1/2 X100FT DOUBLE JACKET",5446,02/13/2025,"FIRE HOSE","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-25 09:29:15 AM",1
121,FAD-0110-0011336700139,"FIRE HOSE 1 1/2 X100FT DOUBLE JACKET",5446,02/13/2025,"FIRE HOSE","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-25 09:29:45 AM",1
122,FAD-0110-0011336700136,"FIRE HOSE 1 1/2 X100FT DOUBLE JACKET",5446,02/13/2025,"FIRE HOSE","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-25 09:30:04 AM",1
123,FAD-0110-0011336700138,"FIRE HOSE 1 1/2 X100FT DOUBLE JACKET",5446,02/13/2025,"FIRE HOSE","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-25 09:30:19 AM",1
