id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
79,,"EAGLE SHOWER HEATER","2 UNIT
DAMAGED
NO BARCODE
CONTAINER VAN AREA","OTHER EQPT.",HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647462152.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647462152.jpg,"2026-08-25 04:43:17 PM"
80,MFI-DBL-00110081,"AEG SHOWER HEATER M:BS35E","DAMAGED
OLD BARCODE
CONTAINER VAN AREA","OTHER EQPT.",HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647556677.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647556677.jpg,"2026-08-25 04:44:47 PM"
81,MFI-DBL-00108898,"SHARP LED TV 32"" S#:608775886LC","DAMAGED
OLD BARCODE
CONTAINER VAN AREA","STR. EQPT.",TV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647644494.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647644494.jpg,"2026-08-25 04:46:08 PM"
82,,"OMRON CONTROL PANEL","DAMAGED
NO BARCODE
CONTAINER VAN AREA","ELEC. INTS. & EQPT.","PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647708882.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647708882.jpg,"2026-08-25 04:47:37 PM"
83,,"CARRIER WINDOW TYPE Aircon S#:3021-0200240","DAMAGED
NO BARCODE
CONTAINER VAN AREA","MACH. & EQPT.",AIRCON-WINDOW-TYPE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647792193.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647792193.jpg,"2026-08-25 04:48:36 PM"
84,,"FUJI WEIGHING SCALE 60KG CAP","DAMAGED
NO BARCODE
CONTAINER VAN AREA",TOOLS,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647852419.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647852419.jpg,"2026-08-25 04:50:03 PM"
85,,"NUTEX WEIGHING SCALE 50KG CAP","DAMAGED
NO BARCODE
CONTAINER VAN AREA",TOOLS,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647897178.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647897178.jpg,"2026-08-25 04:50:59 PM"
86,0070-0004934600026,"SUBMERSIBLE PUMP STREAM PLUS 1HP","DAMAGED
OLD BARCODE
CONTAINER VAN AREA","OTHER EQPT.",PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787648005897.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787648005897.jpg,"2026-08-25 04:51:59 PM"
87,,"HANABISHI 32"" SMART HD LED TV S#:32HDDGSMT8G22100649","DAMAGED
NO BARCODE
CONTAINER VAN AREA","MACH. & EQPT.",TV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787648109073.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787648109073.jpg,"2026-08-25 04:53:31 PM"
88,,"WULI PRESSURE WASHER S#:2017-020578","DAMAGED
NO BARCODE
CONTAINER VAN AREA","MACH. & EQPT.","PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787648212006.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787648212006.jpg,"2026-08-25 04:55:25 PM"
89,,"APC UPS 650","DAMAGED
UNREADABLE BARCODE
CONTAINER VAN AREA","OTHER EQPT.",UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787648273882.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787648273882.jpg,"2026-08-25 04:56:57 PM"
90,MFI-DBL-00112694,"SAKURA KARAOKE MP3 AMPLIFIER AV-3022","NO BARCODE
ADMIN OFFICE","OTHER EQPT.",AMPLIFIER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619218638.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619218638.jpg,"2026-08-25 08:53:25 AM"
91,MFI-DBL-00112693,"PANATONE SPEAKER PT-X10","NO BARCODE
ADMIN OFFICE","OTHER EQPT.",SPEAKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619337872.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619337872.jpg,"2026-08-25 08:55:25 AM"
92,MFI-DBL-00113885,"DELL LAPTOP 3481 S#H1761W2","OLD BARCODE
ADMIN OFFICE","OFF. EQPT.",LAPTOP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619376949.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619376949.jpg,"2026-08-25 08:56:08 AM"
93,,"INFINIX CELLPHONE M:X688B S:K7N12","NO BARCODE
ADMIN OFFICE","OFF. EQPT.",CELLPHONE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619589597.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619589597.jpg,"2026-08-25 08:59:17 AM"
94,,TOWER,"NO BARCODE
LAPSAON COMPOUND","LAND IMPVT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619816694.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619816694.jpg,"2026-08-25 09:03:15 AM"
95,,"KOMATSU BULLDOZER BD-31 155A","NO BARCODE
OWNED BY TIPCAN HEAVY
COMPOUND","HEAVY EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619971825.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619971825.jpg,"2026-08-25 09:05:10 AM"
96,,"4G ANTENNA","NO BARCODE
COMPOUND","OTHER EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620100949.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620100949.jpg,"2026-08-25 09:08:12 AM"
97,0026-0003869900049,"CISCO UC PHONE 7821","MULTIPLE MATCHES
ENTRANCE GATE","OFF. EQPT.",TELEPHONE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620356890.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620356890.jpg,"2026-08-25 09:11:27 AM"
98,,"POWER SPRAYER M:WL-25ASBC S:2016-033185","NO BARCODE
ENTRANCE GATE","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620464824.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620464824.jpg,"2026-08-25 09:13:19 AM"
99,,"POWER SPRAYER M:WL-25ASB S:2017-100976","NO BARCODE
ENTRANCE GATE","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620557751.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620557751.jpg,"2026-08-25 09:15:48 AM"
100,,"FUMIGATION BOX","NO BARCODE
FROM CONSTRUCTION
ENTRANCE GATE","OTHER EQPT.",BOX,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620680339.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620680339.jpg,"2026-08-25 09:17:45 AM"
101,,"WOODEN CABINET W/ 8 DOORS","NO BARCODE
DAMAGED
ENTRANCE GATE","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620758726.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620758726.jpg,"2026-08-25 09:19:02 AM"
102,,"OVERHEAD TANK","NO BARCODE
COMPOUND",,,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620956180.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620956180.jpg,"2026-08-25 09:22:02 AM"
103,,"BESTANK WATER TANK","NO BARCODE
COMPOUND","BLDG. IMPVT.",TANK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620995900.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620995900.jpg,"2026-08-25 09:23:02 AM"
104,,"WATER TANK","NO BARCODE
COMPOUND","BLDG. IMPVT.",TANK,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621040983.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621040983.jpg,"2026-08-25 09:23:48 AM"
105,,"PUMP ROOM BLDG.","NO BARCODE
COMPOUND",BLDG.,,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621094145.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621094145.jpg,"2026-08-25 09:24:34 AM"
106,,"UBIQUITY LITE Beam (INTERNET)","NO BARCODE
ATOP SA ADMIN OFFICE","OTHER EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621521294.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621521294.jpg,"2026-08-25 09:31:23 AM"
107,,"VAN SHADE","NO BARCODE
COMPOUND",BLDG.,BUILDING,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621653521.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621653521.jpg,"2026-08-25 09:33:57 AM"
108,,"ROXELL FEEDS CONTROLLER S:04909656","NO BARCODE
VAN SHADE","BLDG. IMPVT.",CONTROLLER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621698284.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621698284.jpg,"2026-08-25 09:34:46 AM"
109,,"APC UPS M:BVX650I-PH S:21926 01339-2 12","NO BARCODE
VAN SHADE","OFF. EQPT.",UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621775659.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621775659.jpg,"2026-08-25 09:36:06 AM"
110,,"TRAILER TRUCK 20FTR. T-264 PL:0716-565547","NO BARCODE
VAN SHADE","TRNS. EQPT.",TRAILER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621993298.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621993298.jpg,"2026-08-25 09:38:24 AM"
111,,"CONTAINER VAN 10FTR. MFIU 22 057","NO BARCODE
VAN SHADE","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622044033.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622044033.jpg,"2026-08-25 09:40:31 AM"
112,,"CONTAINER VAN 10 FTR. MFIU 037","NO BARCODE
VAN SHADE","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622096756.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622096756.jpg,"2026-08-25 09:41:21 AM"
113,,"TRAILER TRUCK 20 FTR. TR-08 PL#TUD-724","NO BARCODE
VAN SHADE","TRNS. EQPT.",TRAILER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622175070.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622175070.jpg,"2026-08-25 09:42:46 AM"
114,,"CONTAINER VAN 10 FTR. MFIU 135B","NO BARCODE
VAN SHADE","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622267074.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622267074.jpg,"2026-08-25 09:44:17 AM"
115,,"CONTAINER VAN 10FTR. MFIU 23 006-B","NO BARCODE
VAN SHADE","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622319305.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622319305.jpg,"2026-08-25 09:45:03 AM"
116,,"CONTAINER VAN 20FTR. ASC 04","NO BARCODE
COMPOUND","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622590408.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622590408.jpg,"2026-08-25 09:49:20 AM"
117,,"CONTAINER VAN 10FTR. MFU 138","NO BARCODE
COMPOUND","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622765200.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622765200.jpg,"2026-08-25 09:52:34 AM"
118,,"CONTAINER VAN 10FTR. 090","NO BARCODE
COMPOUND","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622977360.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622977360.jpg,"2026-08-25 09:55:07 AM"
119,0002830500315,"TRAILER TRUCK AGC T-174 20FTR. PL#1301-402577","NO BARCODE
COMPOUND","TRNS. EQPT.",TRAILER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623041448.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623041448.jpg,"2026-08-25 09:57:10 AM"
120,,"CONTAINER VAN 10FTR. FM 02","NO BARCODE
COMPOUND","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623115864.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623115864.jpg,"2026-08-25 09:58:17 AM"
121,,"CONTAINER VAN 10 FTR. MFU 119-A","NO BARCODE
COMPOUND","TRNS. EQPT.","CONTAINER VAN","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623178971.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623178971.jpg,"2026-08-25 09:59:14 AM"
122,,"POWER SPRAYER M:WL-25ASBC S:2016-033137","NO BARCODE
KILID SA EGG ROOM","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623252616.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623252616.jpg,"2026-08-25 10:00:43 AM"
123,MFI-DBL-00110332,"DI-701 STAFF CHAIR W/OUT ARM","OLD BARCODE
DAMAGED
KILID SA EGG ROOM","FUR. & FIXT.",CHAIR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623324232.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623324232.jpg,"2026-08-25 10:01:56 AM"
124,0116-0007130100001,"FREEZER VAN PL#GAJ-8716","NO BARCODE
OWNED BY SUBAYON
COMPOUND","TRNS. EQPT.",VEHICLE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623563527.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623563527.jpg,"2026-08-25 10:05:36 AM"
125,MFI-DBL-00112153,"HONDA TMX PL#0701-748245","NO BARCODE
COMPOUND","TRNS. EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623699529.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623699529.jpg,"2026-08-25 10:08:06 AM"
126,,"TOP DOWN SIDE CAR","NO BARCODE
FABRICATED BY CDC MOTORPOOL
COMPOUND","TRNS. EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623779698.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623779698.jpg,"2026-08-25 10:09:26 AM"
127,,"BASKETBALL COURT","NO BARCODE
COMPOUND","LAND IMPVT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623913037.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623913037.jpg,"2026-08-25 10:11:33 AM"
128,,"QUARANTINE ROOM #2","NO BARCODE",BLDG.,,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624031625.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624031625.jpg,"2026-08-25 10:13:29 AM"
129,,"DOUBLE DECK","4 PCS
NO BARCODE
QUARANTINE ROMM #2","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624106845.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624106845.jpg,"2026-08-25 10:14:58 AM"
130,,"DOUBLE DECK","NO BARCODE
STAFF HOUSE","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624170433.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624170433.jpg,"2026-08-25 10:16:02 AM"
131,,"STAFF HOUSE BLDG.","NO BARCODE
COMPOUND",BLDG.,BUILDING,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624228013.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624228013.jpg,"2026-08-25 10:16:53 AM"
132,,"LG WASHING MACHINE M:WP-1860R S:MEZ62889301","NO BARCODE
STAFF HOUSE","MACH. & EQPT.","WASHING MACHINE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624287706.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624287706.jpg,"2026-08-25 10:17:43 AM"
133,,"DOUBLE DECK","NO BARCODE
SUPERVISOR ROOM","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624547562.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624547562.jpg,"2026-08-25 10:22:09 AM"
134,,"WOODEN CABINET W/ 4 DOORS","NO BARCODE
SUPERVISOR ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624640936.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624640936.jpg,"2026-08-25 10:23:50 AM"
135,MFI-DBL-00109461,"MEGA BED FOAM 4X36X75","OLD BARCODE
SUPERVISOR ROOM","OTHER EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624700947.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624700947.jpg,"2026-08-25 10:24:44 AM"
136,,"WOODEN CABINET W/ 2 DOORS","NO BARCODE
VISITORS ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624910435.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624910435.jpg,"2026-08-25 10:28:22 AM"
137,,"DOUBLE DECK","2 PCS
NO BARCODE
VISITORS ROOM","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625032704.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625032704.jpg,"2026-08-25 10:30:25 AM"
138,,"MEGA BED FOAM","NO BARCODE
VISITORS ROOM","FUR. & FIXT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625076770.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625076770.jpg,"2026-08-25 10:31:04 AM"
139,,"BED FOAM","NO BARCODE
VISITORS ROOM","OTHER EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625162392.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625162392.jpg,"2026-08-25 10:32:07 AM"
140,,"DOWELL STAND FAN","NO BARCODE
VISITORS ROOM","OFF. EQPT.",FAN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625209733.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625209733.jpg,"2026-08-25 10:33:22 AM"
141,,"WOODEN CABINET W/ 4 DOORS","NO BARCODE
STAFF ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625277598.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625277598.jpg,"2026-08-25 10:34:29 AM"
142,,"DOUBLE DECK","2 PCS
NO BARCODE
STAFF ROOM","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625349619.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625349619.jpg,"2026-08-25 10:35:41 AM"
143,MFI-DBL-00109359,"FUJI C.FREEZER FC-13 ADF S#F061","OLD BARCODE
STAFF HOUSE-KITCHEN","MACH. & EQPT.",FREEZER/CHILLER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625482657.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625482657.jpg,"2026-08-25 10:37:54 AM"
144,,BURNER,"4 UNITS
NO BARCODE
STAFF HOUSE-KITCHEN","OTHER EQPT.",BURNER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625643765.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625643765.jpg,"2026-08-25 10:40:31 AM"
145,MFI-DBL-00117359,"NUTEX WEIGHING SCALE 50KG.","OLD BARCODE
STAFF HOUSE-KITCHEN","OTHER EQPT.","WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625724278.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625724278.jpg,"2026-08-25 10:41:39 AM"
146,,"STEEL BENCH","NO BARCODE
STAFF HOUSE-KITCHEN","FUR. & FIXT.","STEEL CHAIR","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625792983.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625792983.jpg,"2026-08-25 10:43:04 AM"
147,,"HANGING WOODEN CABINET W/ 6 DOORS","NO BARCODE
STAFF HOUSE-KITCHEN","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625832058.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625832058.jpg,"2026-08-25 10:43:42 AM"
148,MFI-DBL-00117359,"NUTEX PORTABLE SCALE M:NT-50","OLD BARCODE
DAMAGED
STAFF HOUSE-KITCHEN","OTHER EQPT.","WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625918500.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625918500.jpg,"2026-08-25 10:45:07 AM"
149,,"FUJI WEIGHING SCALE 15KG.","NO BARCODE
DAMAGED
STAFF HOUSE-KITCHEN","OTHER EQPT.","WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626038325.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626038325.jpg,"2026-08-25 10:46:57 AM"
150,,"HANGING WOODEN CABINET W/ 10 DOORS","NO BARCODE
STAFF HOUSE-KITCHEN","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626091267.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626091267.jpg,"2026-08-25 10:47:59 AM"
151,,"HANGING WOODEN CABINET W/ 6 DOORS","NO BARCODE
STAFF HOUSE-KITCHEN","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626190546.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626190546.jpg,"2026-08-25 10:49:42 AM"
152,,KAGURAN,"NO BARCODE
STAFF HOUSE-KITCHEN","MACH. & EQPT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626241422.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626241422.jpg,"2026-08-25 10:50:33 AM"
153,,"STEEL BENCH","3 PCS
NO BARCODE
STAFF HOUSE-MESSHALL","FUR. & FIXT.","STEEL CHAIR","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626317487.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626317487.jpg,"2026-08-25 10:51:46 AM"
154,,"DINING TABLE","2 PCS
NO BARCODE
STAFF HOUSE-MESSHALL","FUR. & FIXT.",TABLE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626392359.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626392359.jpg,"2026-08-25 10:52:50 AM"
155,,"WOODEN CABINET W/ 2 DOORS","NO BARCODE
ADMIN STAFF ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626580122.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626580122.jpg,"2026-08-25 10:56:02 AM"
156,,"DOUBLE DECK","2 PCS
ADMIN STAFF ROOM","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626635746.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626635746.jpg,"2026-08-25 10:57:06 AM"
157,,FOAM,"NO BARCODE
ADMIN STAFF ROOM","FUR. & FIXT.",,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626681135.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626681135.jpg,"2026-08-25 10:57:46 AM"
158,,"WOODEN CABINET W/ 4 DOORS","2 UNITS
NO BARCODE
KITCHEN STAFF ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626758309.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626758309.jpg,"2026-08-25 10:59:08 AM"
159,,"DOUBLE DECK","3 PCS
KITCHEN STAFF ROOM","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626806838.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626806838.jpg,"2026-08-25 10:59:58 AM"
160,,"WOODEN CABINET W/ 4 DOORS","3 PCS
NO BARCODE
SSD ROOM","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626885375.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626885375.jpg,"2026-08-25 11:01:16 AM"
